#1
double myCustomInput(36, 2)
#time_in_s	InternalGains
0.0	0.0
100.0	87.15574274765817
200.0	173.64817766693034
300.0	258.81904510252076
400.0	342.0201433256687
500.0	422.61826174069944
600.0	499.99999999999994
700.0	573.576436351046
800.0	642.7876096865392
900.0	707.1067811865476
1000.0	766.044443118978
1100.0	819.1520442889918
1200.0	866.0254037844386
1300.0	906.30778703665
1400.0	939.6926207859083
1500.0	965.9258262890684
1600.0	984.807753012208
1700.0	996.1946980917455
1800.0	1000.0
1900.0	996.1946980917455
2000.0	984.807753012208
2100.0	965.9258262890684
2200.0	939.6926207859084
2300.0	906.3077870366501
2400.0	866.0254037844387
2500.0	819.152044288992
2600.0	766.044443118978
2700.0	707.1067811865476
2800.0	642.7876096865394
2900.0	573.5764363510459
3000.0	499.99999999999994
3100.0	422.6182617406995
3200.0	342.02014332566887
3300.0	258.81904510252105
3400.0	173.64817766693068
3500.0	87.1557427476582
